0.001,1.696144946
0.002,1.696207306
0.003,1.696311231
0.004,1.696456708
0.005,1.69664372
0.006,1.696872244
0.007,1.697142251
0.008,1.69745371
0.009,1.697806582
0.01,1.698200824
0.011,1.698636389
0.012,1.699113222
0.013,1.699631267
0.014,1.70019046
0.015,1.700790732
0.016,1.701432012
0.017,1.70211422
0.018,1.702837274
0.019,1.703601086
0.02,1.704405563
0.021,1.705250606
0.022,1.706136114
0.023,1.707061977
0.024,1.708028084
0.025,1.709034317
0.026,1.710080553
0.027,1.711166666
0.028,1.712292522
0.029,1.713457984
0.03,1.714662912
0.031,1.715907157
0.032,1.717190568
0.033,1.71851299
0.034,1.71987426
0.035,1.721274214
0.036,1.72271268
0.037,1.724189482
0.038,1.725704441
0.039,1.727257372
0.04,1.728848086
0.041,1.730476387
0.042,1.732142077
0.043,1.733844952
0.044,1.735584804
0.045,1.73736142
0.046,1.739174583
0.047,1.74102407
0.048,1.742909654
0.049,1.744831104
0.05,1.746788183
0.051,1.748780651
0.052,1.750808263
0.053,1.752870768
0.054,1.754967912
0.055,1.757099436
0.056,1.759265076
0.057,1.761464564
0.058,1.763697626
0.059,1.765963986
0.06,1.76826336
0.061,1.770595462
0.062,1.772960002
0.063,1.775356681
0.064,1.777785201
0.065,1.780245255
0.066,1.782736533
0.067,1.78525872
0.068,1.787811498
0.069,1.790394542
0.07,1.793007522
0.071,1.795650105
0.072,1.798321953
0.073,1.801022723
0.074,1.803752065
0.075,1.806509626
0.076,1.80929505
0.077,1.812107972
0.078,1.814948024
0.079,1.817814834
0.08,1.820708024
0.081,1.823627209
0.082,1.826572002
0.083,1.829542009
0.084,1.83253683
0.085,1.835556062
0.086,1.838599295
0.087,1.841666113
0.088,1.844756096
0.089,1.847868818
0.09,1.851003845
0.091,1.854160742
0.092,1.857339063
0.093,1.86053836
0.094,1.863758178
0.095,1.866998054
0.096,1.870257521
0.097,1.873536105
0.098,1.876833326
0.099,1.880148698
0.1,1.883481726
0.101,1.886818745
0.102,1.890139656
0.103,1.893444239
0.104,1.896732477
0.105,1.900004351
0.106,1.903259841
0.107,1.906498927
0.108,1.909721587
0.109,1.9129278
0.11,1.916117542
0.111,1.919290789
0.112,1.922447516
0.113,1.925587697
0.114,1.928711307
0.115,1.931818317
0.116,1.934908699
0.117,1.937982425
0.118,1.941039465
0.119,1.944079787
0.12,1.947103361
0.121,1.950110154
0.122,1.953100134
0.123,1.956073266
0.124,1.959029517
0.125,1.961968851
0.126,1.964891232
0.127,1.967796623
0.128,1.970684987
0.129,1.973556287
0.13,1.976410482
0.131,1.979247535
0.132,1.982067404
0.133,1.984870049
0.134,1.987655428
0.135,1.990423499
0.136,1.99317422
0.137,1.995907547
0.138,1.998623436
0.139,2.001321843
0.14,2.004002722
0.141,2.006666027
0.142,2.009311713
0.143,2.011939732
0.144,2.014550037
0.145,2.017142579
0.146,2.019717311
0.147,2.022274182
0.148,2.024813145
0.149,2.027334147
0.15,2.02983714
0.151,2.032322071
0.152,2.03478889
0.153,2.037237544
0.154,2.039667981
0.155,2.042080148
0.156,2.044473992
0.157,2.04684946
0.158,2.049206496
0.159,2.051545048
0.16,2.05386506
0.161,2.056166476
0.162,2.058449243
0.163,2.060713303
0.164,2.0629586
0.165,2.06518508
0.166,2.067392684
0.167,2.069581355
0.168,2.071751038
0.169,2.073901674
0.17,2.076033205
0.171,2.078145575
0.172,2.080238724
0.173,2.082312595
0.174,2.084367129
0.175,2.086402269
0.176,2.088417954
0.177,2.090414127
0.178,2.092390728
0.179,2.0943477
0.18,2.096284982
0.181,2.098202515
0.182,2.100100242
0.183,2.101978102
0.184,2.103836036
0.185,2.105673986
0.186,2.107491892
0.187,2.109289696
0.188,2.111067338
0.189,2.112824759
0.19,2.114561902
0.191,2.116278707
0.192,2.117975115
0.193,2.119651069
0.194,2.121306511
0.195,2.122941382
0.196,2.124555624
0.197,2.12614918
0.198,2.127721994
0.199,2.129274007
0.2,2.130805163
0.201,2.132315405
0.202,2.133804678
0.203,2.135272926
0.204,2.136720093
0.205,2.138146123
0.206,2.139550963
0.207,2.140934559
0.208,2.142296855
0.209,2.143637799
0.21,2.144957338
0.211,2.146255419
0.212,2.14753199
0.213,2.148787001
0.214,2.150020398
0.215,2.151232134
0.216,2.152422157
0.217,2.153590418
0.218,2.154736869
0.219,2.155861461
0.22,2.156964147
0.221,2.158044881
0.222,2.159103616
0.223,2.160140307
0.224,2.161154909
0.225,2.162147378
0.226,2.16311767
0.227,2.164065745
0.228,2.164991558
0.229,2.165895071
0.23,2.166776241
0.231,2.167635031
0.232,2.168471401
0.233,2.169285314
0.234,2.170076733
0.235,2.170845622
0.236,2.171591946
0.237,2.17231567
0.238,2.173016762
0.239,2.173695189
0.24,2.174350919
0.241,2.174983922
0.242,2.175594169
0.243,2.176181631
0.244,2.17674628
0.245,2.17728809
0.246,2.177807035
0.247,2.17830309
0.248,2.178776233
0.249,2.17922644
0.25,2.17965369
0.251,2.180057963
0.252,2.180439238
0.253,2.180797499
0.254,2.181132728
0.255,2.181444907
0.256,2.181734024
0.257,2.182000062
0.258,2.18224301
0.259,2.182462856
0.26,2.182659589
0.261,2.1828332
0.262,2.182983679
0.263,2.183111021
0.264,2.183215217
0.265,2.183296265
0.266,2.183354158
0.267,2.183388896
0.268,2.183400475
0.269,2.183388896
0.27,2.183354158
0.271,2.183296265
0.272,2.183215217
0.273,2.183111021
0.274,2.182983679
0.275,2.1828332
0.276,2.182659589
0.277,2.182462856
0.278,2.18224301
0.279,2.182000062
0.28,2.181734024
0.281,2.181444907
0.282,2.181132728
0.283,2.180797499
0.284,2.180439238
0.285,2.180057963
0.286,2.17965369
0.287,2.17922644
0.288,2.178776233
0.289,2.17830309
0.29,2.177807035
0.291,2.17728809
0.292,2.17674628
0.293,2.176181631
0.294,2.175594169
0.295,2.174983922
0.296,2.174350919
0.297,2.173695189
0.298,2.173016762
0.299,2.17231567
0.3,2.171591946
0.301,2.170845622
0.302,2.170076733
0.303,2.169285314
0.304,2.168471401
0.305,2.167635031
0.306,2.166776241
0.307,2.165895071
0.308,2.164991558
0.309,2.164065745
0.31,2.16311767
0.311,2.162147378
0.312,2.161154909
0.313,2.160140307
0.314,2.159103616
0.315,2.158044881
0.316,2.156964147
0.317,2.155861461
0.318,2.154736869
0.319,2.153590418
0.32,2.152422157
0.321,2.151232134
0.322,2.150020398
0.323,2.148787001
0.324,2.14753199
0.325,2.146255419
0.326,2.144957338
0.327,2.143637799
0.328,2.142296855
0.329,2.140934559
0.33,2.139550963
0.331,2.138146123
0.332,2.136720093
0.333,2.135272926
0.334,2.133804678
0.335,2.132315405
0.336,2.130805163
0.337,2.129274007
0.338,2.127721994
0.339,2.12614918
0.34,2.124555624
0.341,2.122941382
0.342,2.121306511
0.343,2.119651069
0.344,2.117975115
0.345,2.116278707
0.346,2.114561902
0.347,2.112824759
0.348,2.111067338
0.349,2.109289696
0.35,2.107491892
0.351,2.105673986
0.352,2.103836036
0.353,2.101978102
0.354,2.100100242
0.355,2.098202515
0.356,2.096284982
0.357,2.0943477
0.358,2.092390728
0.359,2.090414127
0.36,2.088417954
0.361,2.086402269
0.362,2.084367129
0.363,2.082312595
0.364,2.080238724
0.365,2.078145575
0.366,2.076033205
0.367,2.073901674
0.368,2.071751038
0.369,2.069581355
0.37,2.067392684
0.371,2.06518508
0.372,2.0629586
0.373,2.060713303
0.374,2.058449243
0.375,2.056166476
0.376,2.05386506
0.377,2.051545048
0.378,2.049206496
0.379,2.04684946
0.38,2.044473992
0.381,2.042080148
0.382,2.039667981
0.383,2.037237544
0.384,2.03478889
0.385,2.032322071
0.386,2.02983714
0.387,2.027334147
0.388,2.024813145
0.389,2.022274182
0.39,2.019717311
0.391,2.017142579
0.392,2.014550037
0.393,2.011939732
0.394,2.009311713
0.395,2.006666027
0.396,2.004002722
0.397,2.001321843
0.398,1.998623436
0.399,1.995907547
0.4,1.99317422
0.401,1.990423499
0.402,1.987655428
0.403,1.984870049
0.404,1.982067404
0.405,1.979247535
0.406,1.976410482
0.407,1.973556287
0.408,1.970684987
0.409,1.967796623
0.41,1.964891232
0.411,1.961968851
0.412,1.959029517
0.413,1.956073266
0.414,1.953100134
0.415,1.950110154
0.416,1.947103361
0.417,1.944079787
0.418,1.941039465
0.419,1.937982425
0.42,1.934908699
0.421,1.931818317
0.422,1.928711307
0.423,1.925587697
0.424,1.922447516
0.425,1.919290789
0.426,1.916117542
0.427,1.9129278
0.428,1.909721587
0.429,1.906498927
0.43,1.903259841
0.431,1.900004351
0.432,1.896732477
0.433,1.893444239
0.434,1.890139656
0.435,1.886818745
0.436,1.883481726
0.437,1.880148698
0.438,1.876833326
0.439,1.873536105
0.44,1.870257521
0.441,1.866998054
0.442,1.863758178
0.443,1.86053836
0.444,1.857339063
0.445,1.854160742
0.446,1.851003845
0.447,1.847868818
0.448,1.844756096
0.449,1.841666113
0.45,1.838599295
0.451,1.835556062
0.452,1.83253683
0.453,1.829542009
0.454,1.826572002
0.455,1.823627209
0.456,1.820708024
0.457,1.817814834
0.458,1.814948024
0.459,1.812107972
0.46,1.80929505
0.461,1.806509626
0.462,1.803752065
0.463,1.801022723
0.464,1.798321953
0.465,1.795650105
0.466,1.793007522
0.467,1.790394542
0.468,1.787811498
0.469,1.78525872
0.47,1.782736533
0.471,1.780245255
0.472,1.777785201
0.473,1.775356681
0.474,1.772960002
0.475,1.770595462
0.476,1.76826336
0.477,1.765963986
0.478,1.763697626
0.479,1.761464564
0.48,1.759265076
0.481,1.757099436
0.482,1.754967912
0.483,1.752870768
0.484,1.750808263
0.485,1.748780651
0.486,1.746788183
0.487,1.744831104
0.488,1.742909654
0.489,1.74102407
0.49,1.739174583
0.491,1.73736142
0.492,1.735584804
0.493,1.733844952
0.494,1.732142077
0.495,1.730476387
0.496,1.728848086
0.497,1.727257372
0.498,1.725704441
0.499,1.724189482
0.5,1.72271268
0.501,1.721274214
0.502,1.71987426
0.503,1.71851299
0.504,1.717190568
0.505,1.715907157
0.506,1.714662912
0.507,1.713457984
0.508,1.712292522
0.509,1.711166666
0.51,1.710080553
0.511,1.709034317
0.512,1.708028084
0.513,1.707061977
0.514,1.706136114
0.515,1.705250606
0.516,1.704405563
0.517,1.703601086
0.518,1.702837274
0.519,1.70211422
0.52,1.701432012
0.521,1.700790732
0.522,1.70019046
0.523,1.699631267
0.524,1.699113222
0.525,1.698636389
0.526,1.698200824
0.527,1.697806582
0.528,1.69745371
0.529,1.697142251
0.53,1.696872244
0.531,1.69664372
0.532,1.696456708
0.533,1.696311231
0.534,1.696207306
0.535,1.696144946
0.536,1.696124158
0.537,1.696124158
0.538,1.696124155
0.539,1.696124142
0.54,1.696124107
0.541,1.696124033
0.542,1.6961239
0.543,1.69612368
0.544,1.696123342
